_id,address_info,name,category,phone,email,website,geoid,received_date,address_point_id,address_number,linear_name_full,address_full,postal_code,municipality,city,place_name,general_use_code,lo_num,lo_num_suf,hi_num,hi_num_suf,linear_name_id,ward,ward_2003,ward_2018,mi_prinx,attraction,map_access,coordinate_1,coordinate_2
11,,Bluffer's Park and Beach (Scarborough Bluffs),Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/2/index.html,1.407765E7,,1.407765E7,1.0,Brimley Rd S,1 Brimley Rd S,,Scarborough,Toronto,Bluffer's Park,106001.0,1.0,,,,10496.0,Scarborough Southwest,36.0,20.0,3837195.0,"Providing a beautiful backdrop for locals and visitors alike, the Bluffs are one of Toronto''s great natural wonders.",Y,-79.2347677158986,43.708204762686
12,,Artscape Wychwood Barns,Landmark,416-338-4386,,https://artscapewychwoodbarns.ca/,887004.0,,0.0,76.0,Wychwood Ave,76 Wychwood Ave,M6G 2X7,former Toronto,Toronto,,0.0,0.0,,,,0.0,Toronto-St. Paul's,21.0,12.0,0.0,"A heritage building converted into a community centre that hosts many events, festivals, farmers market and a children''s theatre.",,-79.4227256643923,43.6818791350469
13,,BAPS Shri Swaminarayan Mandir,Landmark,416-798-2277,,http://www.baps.org/Global-Network/North-America/Toronto.aspx,7063040.0,,7063040.0,61.0,Claireville Dr,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,,114001.0,61.0,,,,1350.0,Etobicoke North,1.0,1.0,2361585.0,"This unique-to-Canada architectural monument is made with 24,000 pieces of marble and stone. Discover the more than 10,000-year-old heritage of India.",Y,-79.6248083236811,43.7412808602927
14,,Beanfield Centre,Convention & Trade Centres,416-263-3000,,https://www.beanfieldcentre.com/,1.3497744E7,,1.3497744E7,105.0,Princes' Blvd,105 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE Automotive Bldg,107007.0,105.0,,,,20228.0,Spadina-Fort York,19.0,10.0,4163970.0,The Beanfield Centre (formerly Allstream Centre) is an environmentally friendly conference venue.,Y,-79.4104479776446,43.6360299059783
15,,Berkeley Street Theatre,Performing Arts,416-367-8243,,https://www.canadianstage.com/Online/default.asp?BOparam::WScontent::loadArticle::permalink=berkeley&BOparam::WScontent::loadArticle::context_id=,8354326.0,,8354326.0,26.0,Berkeley St,26 Berkeley St,M5A 2W3,former Toronto,Toronto,,115001.0,26.0,,,,2995.0,Toronto Centre,28.0,13.0,3277000.0,"Home to the Canadian Stage Company, the Berkeley Street Theatre presents an array of Canadian and international performances.",N,-79.3640604980114,43.6525759671447
16,,Betty Oliphant Theatre (at Canada's National Ballet School),Performing Arts,416-964-3780,,https://www.nbs-enb.ca/venue-rentals/betty-oliphant-theatre,1.0924127E7,,1.0924127E7,404.0,Jarvis St,404 Jarvis St,M4Y 2G6,former Toronto,Toronto,,115001.0,404.0,,,,3741.0,Toronto Centre,27.0,13.0,1781615.0,"Designed by Jack Diamond, the Betty Oliphant Theatre is used by the Canada National Ballet School as a training and performance venue.",N,-79.3778819880894,43.6662605166366
17,,Billy Bishop Toronto City Airport,Transportation,416-203-6942,,https://www.billybishopairport.com/,8491775.0,,8491775.0,4.0,Eireann Quay,4 Eireann Quay,M5V 0R7,former Toronto,Toronto,Island Airport,108005.0,4.0,,,,19008.0,Spadina-Fort York,20.0,10.0,3341446.0,"Located minutes from the downtown core, Billy Bishop Airport serves nearby Canadian and American cities.",Y,-79.3972835619535,43.6359262833011
18,,Hudson's Bay,Landmark,416-861-9111,,https://www.thebay.com/,8677040.0,,8677040.0,176.0,Yonge St,176 Yonge St,M5C 2L7,former Toronto,Toronto,,115001.0,176.0,,,,4733.0,Toronto Centre,28.0,13.0,2103897.0,"Famously known as being North America''s oldest company, the Hudson Bay is a chain of department stores  that operate throughout the country.",Y,-79.3800976787492,43.6537413069459
19,,Black Creek Pioneer Village,Museum,416-736-1733,,https://blackcreek.ca/,544620.0,,544620.0,1000.0,Murray Ross Pkwy,1000 Murray Ross Pkwy,M3J 2P3,North York,Toronto,,107008.0,1000.0,,,,6264.0,Humber River-Black Creek,8.0,7.0,4190714.0,"Become immersed in the lifestyles, customs, and surroundings of early residents who built the foundations for modern Toronto and Ontario at this 30-acre site.",Y,-79.5178421019667,43.7767692158923
20,,Buddies in Bad Times Theatre,Performing Arts,416-975-8555,,https://buddiesinbadtimes.com/,7730175.0,,7730175.0,12.0,Alexander St,12 Alexander St,M4Y 1B4,former Toronto,Toronto,,107002.0,12.0,,,,9761.0,Toronto Centre,27.0,13.0,4095934.0,"Buddies in Bad Times theatre is the biggest, and the longest-running queer theatre in the world.",Y,-79.3828631217741,43.6653085812975
21,,Budweiser Stage (formerly Molson Canadian Amphitheatre),Sports / Entertainment Venue,416-260-5600,,https://www.livenation.com/venue/KovZpZAEkkIA/budweiser-stage-events,2.0100991E7,,2.0100991E7,909.0,Lake Shore Blvd W,909 Lake Shore Blvd W,M6K 3L3,former Toronto,Toronto,Budweiser Stage,107002.0,909.0,,,,1962.0,Spadina-Fort York,19.0,10.0,3194249.0,"Located within the Ontario Place grounds, the Budweiser Stage offers concert goers an excellent outdoors venue.",Y,-79.4149144290634,43.6313239897966
22,,Campbell House,Museum,416-597-0227,,http://www.campbellhousemuseum.ca/,8067818.0,,8067818.0,160.0,Queen St W,160 Queen St W,M5H 3H3,former Toronto,Toronto,Sir William Campbell House Museum - Building Grounds,115001.0,160.0,,,,4238.0,Spadina-Fort York,20.0,10.0,3837738.0,The Campbell house dates back to 1822 and was once home to Judge William Campbell.  It is the last example of Palladian architecture in  Toronto.,Y,-79.3869534917039,43.6529004815823
23,,Canada's Walk of Fame,Landmark,416-367-9255,,https://www.canadaswalkoffame.com/,7929669.0,,7929669.0,215.0,King St W,215 King St W,,former Toronto,Toronto,,115001.0,215.0,,,,3780.0,Spadina-Fort York,20.0,10.0,3836291.0,Canada's Walk of Fame celebrates Canadians who have excelled in their respective fields for at least 10 years. The stars are displayed throughout the Entertainment District along King Street West and Simcoe Street.,Y,-79.3873645899985,43.6489407572229
24,,Chinese Cultural Centre of Greater Toronto,Attraction,416-292-9293,,https://www.cccgt.org/,1.3504489E7,,1.3504489E7,5183.0,Sheppard Ave E,5183 Sheppard Ave E,M1B 5Z5,Scarborough,Toronto,,107010.0,5183.0,,,,6698.0,Scarborough North,42.0,23.0,3814396.0,"The building houses the P.C. Ho theatre, studios, conference rooms, a resource centre, a reception hall and an art gallery.",Y,-79.2332837504065,43.7966759868522
25,,Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,416-798-2277,,https://www.baps.org/cultureandheritage/ExperienceIndia/Exhibitions/CanadianMuseumofCulturalHeritageofIndo-Canadians.aspx,7063040.0,,7063040.0,61.0,Claireville Dr,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,,114001.0,61.0,,,,1350.0,Etobicoke North,1.0,1.0,2361585.0,The Canadian Museum of Cultural Heritage of Indo-Canadians is a museum committed to the understanding of India's rich cultural heritage. See BAPS Shri Swaminarayan Mandir.,Y,-79.6248083236811,43.7412808602927
26,,Canadian Sculpture Centre,Gallery,647-435-5858,,https://www.sculptorssocietyofcanada.org/,3.0115345E7,,7730188.0,19.0,Mill St,19 Mill St,M5A 3R6,former Toronto,Toronto,,115001.0,500.0,,,,503.0,Spadina-Fort York,28.0,10.0,2303768.0,The Canadian Scultpture Centre is headquarters to the Sculptors Society of Canada. The society showcases and exibits contemporary Canadian scultpures.,N,-79.3611396471424,43.6522665453388
27,,Casa Loma,Attraction,416-923-1171,,https://casaloma.ca/,1.0663925E7,,1.0663925E7,1.0,Austin Ter,1 Austin Ter,M5R 1X8,former Toronto,Toronto,,107010.0,1.0,,,,2922.0,Toronto-St. Paul's,22.0,12.0,2241692.0,"Canadas foremost castle is complete with decorated suites, secret passages, an 800-foot tunnel, towers, stables, and beautiful 5-acre estate gardens.",Y,-79.4093251494109,43.6801118295003
28,,CBC Museum,Museum,416-205-5574,,https://www.cbc.ca/museum/,1.059828E7,,1.059828E7,250.0,Front St W,250 Front St W,M5V 3G5,former Toronto,Toronto,,115001.0,250.0,,,,3472.0,Spadina-Fort York,20.0,10.0,2650427.0,The CBC Museum features various CBC archival materials that date back to 1936. The museum also features the Graham Spry Theatre and a number of interactive exhibits.,Y,-79.3875038118449,43.6464170196587
29,,Cedar Ridge Creative Centre,Gallery,416-396-4026,,https://www.toronto.ca/explore-enjoy/history-art-culture/cultural-centres-galleries/cedar-ridge-creative-centre/,322165.0,,322165.0,225.0,Confederation Dr,225 Confederation Dr,M1G 1B2,Scarborough,Toronto,,106007.0,225.0,,,,7639.0,Scarborough-Guildwood,43.0,24.0,3838177.0,"Situated in a restored mansion, the centre features the Cedar Ridge gallery and rich gardens. The gallery highlights work from artists throughout the Greater Toronto area.",Y,-79.2069258352205,43.7594306389004
30,,CF Fairview Mall,Landmark,416-491-0151,,https://www.cfshops.com/fairview-mall.html,1.4068149E7,,0.0,1800.0,Sheppard Ave E,1800 Sheppard Ave E,M2J 5A7,North York,Toronto,,0.0,0.0,,,,0.0,Don Valley North,33.0,17.0,0.0,An upscale shopping centre in the north eastern part of Toronto.,,-79.3442952425811,43.7797388046115
31,,Centennial Park,Nature/ Park,416-394-8750,,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,7472090.0,,7472090.0,256.0,Centennial Park Rd,256 Centennial Park Rd,M9C 5N3,Etobicoke,Toronto,Centennial Park - Etobicoke,115001.0,256.0,,,,1322.0,Etobicoke Centre,3.0,2.0,3836085.0,"Centennial Park is situated in Etobicoke and was opened in 1967 to celebrate Canada''s 100th birthday. The park features sports fields, a conservatory, a ski hill, an Olympic size swimming pool, picnic areas and a Frisbee golf course.",Y,-79.5866713806478,43.6593174245531
32,,Centennial Park Conservatory,Nature/ Park,416-394-8543,,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/centennial-park-conservatory/,5495477.0,,5495477.0,151.0,Elmcrest Rd,151 Elmcrest Rd,,Etobicoke,Toronto,,106001.0,151.0,,,,1543.0,Etobicoke Centre,3.0,2.0,4200895.0,"The Centennial Park conservatory is located within Centennial Park. At a size of 12,000 square feet it features an arid house, a show house and a tropical house. The conservatory is open year round and is free to the public.",Y,-79.5881487657249,43.6514644687664
33,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centre Island Beach,Nature/ Park,311,,http://app.toronto.ca/tpha/beach/5.html,8133372.0,,8133372.0,1.0,Avenue Of The Islands,1 Avenue Of The Islands,,former Toronto,Toronto,,115001.0,1.0,,,,11373.0,Spadina-Fort York,28.0,10.0,3363020.0,Centre Island Beach also known as Manitou Beach has been used by locals and tourists alike for more than a century. The beach is located on the south end of Centre Island. It is surrounded by park space and amenities such as bike and boat rentals.,Y,-79.3715604620601,43.6185984939237
67,,CF Sherway Gardens,Landmark,416-621-1070,,https://www.cfshops.com/sherway-gardens.html,3327188.0,,0.0,25.0,The West Mall,25 The West Mall,M9C 1B8,Etobicoke,Toronto,,0.0,0.0,,,,0.0,Etobicoke-Lakeshore,5.0,3.0,0.0,An upscale shopping centre in Toronto's West end.,,-79.5570120906651,43.6139454842345
34,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centreville Amusement Park,Attraction,416-203-0405,,http://www.centreisland.ca/,8133385.0,,8133385.0,21.0,Avenue Of The Islands,21 Avenue Of The Islands,,former Toronto,Toronto,,115001.0,21.0,,,,11373.0,Spadina-Fort York,28.0,10.0,4159572.0,"Centreville is a 14-acre, turn-of-the-century, Ontario village theme park for children located on Centre Island, featuring over 30 rides.",Y,-79.3729806810988,43.622406028807
35,,Cherry Beach/ Clarke Beach Park,Nature/ Park,416-338-4386,,https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html,1.0495088E7,,1.0495088E7,275.0,Unwin Ave,275 Unwin Ave,,former Toronto,Toronto,Cherry Beach Sports Fields,106005.0,275.0,,,,4587.0,Toronto-Danforth,30.0,14.0,4170002.0,"Cherry Beach is located within the port lands and features a dog''s off leash area, the Martin Goodman Trail and a picnic site.",Y,-79.3414268025911,43.6431743573946
36,,Cloud Gardens Conservatory,Garden / Conservatory,416-392-7288,,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/cloud-gardens-conservatory/,8677073.0,,8677073.0,14.0,Temperance St,14 Temperance St,M5H 1Y4,former Toronto,Toronto,Cloud Gardens,115001.0,14.0,,,,4536.0,Toronto Centre,28.0,13.0,4250856.0,"Renovated in 2014, the conservatory is situated within the heart of the city''s financial district. It features a small greenhouse that is set to the conditions of a rainforest.",N,-79.3795099556221,43.653075209767
37,,CN Tower,Attraction,416-868-6937,,http://www.cntower.ca/,3.0113619E7,,1.0598279E7,290.0,Bremner Blvd,290 Bremner Blvd,M5V 3L9,former Toronto,Toronto,,107010.0,301.0,,,,3472.0,Spadina-Fort York,20.0,10.0,2252756.0,"The CN Tower is an engineering marvel and one of the city''s most visited sites. It features the world''s highest wine cellar, a fine dining revolving restaurant (360), a glass floor. For the true adventure seeker, the Edge walk.",Y,-79.3865074039913,43.6439027446131
38,,Colborne Lodge,Museum,416-392-6916,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/colborne-lodge/,7730490.0,,7730490.0,11.0,Colborne Lodge Dr,11 Colborne Lodge Dr,,former Toronto,Toronto,Colborne Lodge(Howard House),107008.0,11.0,,,,3197.0,Parkdale-High Park,13.0,4.0,3816049.0,This quaint cottage located within High Park was home to John and Jemma Howard. In 1873 the couple deeded the part to lodge to the City of Toronto. The house is a great example of a regency style building.,Y,-79.4597662106434,43.6423463729116
39,,Dancemakers and the Centre for Creation,Performing Arts,416-367-1800,,http://dancemakers.org/,3.0032097E7,,3.0032097E7,9.0,Trinity St,9 Trinity St,M5A 3C4,former Toronto,Toronto,,115001.0,9.0,,,,4574.0,Spadina-Fort York,28.0,10.0,3232761.0,"One of Toronto''s professional contemporary dance companies, Dancemakers and the Centre for Creation is focused on the delivery of refined and passionate dance to its admirers.",N,-79.359060552096,43.6520247718486
40,,Design Exchange,Museum,416-363-6121,,https://dx.org/,1.4206258E7,,1.4206258E7,234.0,Bay St,234 Bay St,,former Toronto,Toronto,,115001.0,234.0,,,,2962.0,Spadina-Fort York,28.0,10.0,2593198.0,Canada's only museum dedicated to the preservation of design which includes the design heritage from an array of mediums.,Y,-79.3802838161557,43.6501438483124
41,,Downsview Park,Nature/ Park,416-952-2222,,https://en.downsviewpark.ca/home,1.3494845E7,,1.3494845E7,35.0,Carl Hall Rd,35 Carl Hall Rd,M3K 2E2,North York,Toronto,,113001.0,35.0,,,,11506.0,York Centre,9.0,6.0,3011325.0,"The vast green space allows for an array of small-to-large scale events such as culture, dining, leisure, sports, and recreation.",Y,-79.4789616449492,43.7486565893989
42,,Ed Mirvish Theatre,Performing Arts,416-872-1212,,https://www.mirvish.com/theatres/ed-mirvish-theatre,1.4199877E7,,1.4199877E7,244.0,Victoria St,244 Victoria St,M5B 1V8,former Toronto,Toronto,,115001.0,244.0,,,,9790.0,Toronto Centre,27.0,13.0,2398205.0,"A part of the Toronto theatre scene since 1920, the Ed Mirvish Theatre is a picturesque theatre to view special presentations ranging from concerts, comedy, plays, and many more.",Y,-79.3791989964706,43.6572449292893
43,,Elgin and Winter Garden Theatre Centre,Performing Arts,416-314-2901,,http://www.heritagetrust.on.ca/ewg/home.aspx,7762814.0,,7762814.0,189.0,Yonge St,189 Yonge St,M5B 1M4,former Toronto,Toronto,,107002.0,189.0,,,,4733.0,Toronto Centre,27.0,13.0,2001997.0,The Elgin and Winter Garden Theatre features two completely separate theatres and is the last running double-decker theatre in the world .,Y,-79.3790010464263,43.6550551232493
44,,Enercare Centre,Convention & Trade Centres,416-263-3000,,https://www.enercarecentre.com/,1.3497734E7,,1.3497734E7,100.0,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE Direct Energy Centre,107007.0,100.0,,,,20228.0,Spadina-Fort York,19.0,10.0,4163968.0,"The largest convention centre in Canada, over 180 trade and consumer shows are hosted annually.",Y,-79.4123529029789,43.6365299779587
45,,Evergreen Brick Works,Attraction,416-596-1495,,http://www.evergreen.ca/get-involved/evergreen-brick-works/,17494.0,,17494.0,550.0,Bayview Ave,550 Bayview Ave,M4W 3X8,East York,Toronto,Don Valley Brick Works,113001.0,550.0,,,,24.0,University-Rosedale,29.0,11.0,4068255.0,"A former brickyard, the Evergreen Brick Works is an urban model for ecosystem planning. Filled with activities for the whole family and a farmers market.",Y,-79.3654285356436,43.6857816393402
46,,Exhibition Place,Convention & Trade Centres,416-263-3000,,https://www.explace.on.ca/,1.3497734E7,,1.3497734E7,100.0,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,,107007.0,100.0,,,,20228.0,Spadina-Fort York,19.0,10.0,4163968.0,"Attracting over 5 million visitors a year, this massive complex features sporting and exhibition facilities, a nightclub and attractions.",Y,-79.4123529029789,43.6365299779587
47,,Factory Theatre,Performing Arts,416-504-9971,,https://www.factorytheatre.ca,8457322.0,,8457322.0,125.0,Bathurst St,125 Bathurst St,M5V 2R2,former Toronto,Toronto,,115001.0,125.0,,,,436.0,Spadina-Fort York,20.0,10.0,2383679.0,"The Factory Theatre operates two theatres in a  Victorian mansion, where they have produced more than 150 Canadian plays, and various workshops.",Y,-79.4025154741294,43.6475701365985
48,,Famous PEOPLE Players,Performing Arts,416-532-1137,,https://famouspeopleplayers.com/,3.0063014E7,,3.0063014E7,343.0,Evans Ave,343 Evans Ave,M8Z 1K2,Etobicoke,Toronto,,112001.0,343.0,,,,1575.0,Etobicoke-Lakeshore,6.0,3.0,3814167.0,"Located in Toronto''s West End, Famous PEOPLE Players allows visitors to immerse themselves in a unique dining experience while enjoying theatre in the dark.",Y,-79.5205713396751,43.6171616064062
49,,Fort York National Historic Site,Museum,416-392-6907,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/,3.0104716E7,,3.0017954E7,250.0,Fort York Blvd,250 Fort York Blvd,M5V 3K9,former Toronto,Toronto,,104008.0,250.0,,,,15826.0,Spadina-Fort York,19.0,10.0,3004743.0,"Birthplace of Toronto in 1793 and scene of the Battle of York in 1813, Fort York has Canadas largest collection of original War of 1812 buildings. Open year round for tours, exhibits, and demonstrations.",Y,-79.4061161837391,43.639863953045
50,,Four Seasons Centre for the Performing Arts,Performing Arts,416-363-8231,,https://www.coc.ca/venue-information/fourseasonscentre,856378.0,,856378.0,145.0,Queen St W,145 Queen St W,M5H 4G1,former Toronto,Toronto,,107002.0,145.0,,,,4238.0,Spadina-Fort York,28.0,10.0,1884457.0,The Four Seasons Centre for the Performing Arts is home to the Canadian Opera Company and the National Ballet of Canada.,Y,-79.3856071743879,43.6526174268151
51,Approximate address - Located on Toronto Island - take ferry from 9 Queen's Quay West,Franklin Children's Garden,Garden / Conservatory,416-397-2628,,https://www.toronto.ca/data/parks/prd/facilities/complex/1806/index.html,1.4258202E7,,1.4258202E7,30.0,Centre Island Pk,30 Centre Island Pk,M5J 2E9,former Toronto,Toronto,,102008.0,30.0,,,,17507.0,Spadina-Fort York,28.0,10.0,1713485.0,"The garden, inspired by Franklin the Turtle, is an area to discover nature, play, while learning something new.",N,-79.3781879875639,43.6176993777379
52,,Gardiner Museum of Ceramic Art,Museum,416-586-8080,,https://www.gardinermuseum.on.ca/,8408486.0,,8408486.0,111.0,Queen's Park,111 Queen's Park,M5S 2C7,former Toronto,Toronto,,115001.0,111.0,,,,11267.0,University-Rosedale,27.0,11.0,2942367.0,"A museum dedicated to one of the oldest forms of art. The Gardiner Museum of Ceramic Art is home to over 3,000 historical and contemporary ceramic pieces.",Y,-79.3933098536899,43.6699840647769
53,,George Ignatieff Theatre,Performing Arts,416-978-3862,,https://www.trinity.utoronto.ca/discover/catering-events/george-ignatieff-theatre/,8408609.0,,8408609.0,15.0,Devonshire Pl,15 Devonshire Pl,M5S 2C8,former Toronto,Toronto,,107002.0,15.0,,,,3293.0,University-Rosedale,20.0,11.0,2163690.0,"In the Trinity College community, the George Ignatieff Theatre acts as a creative hub ranging from events like theatre, conferences, and much more.",N,-79.3969113276129,43.6678409749322
54,Located on Toronto Island - take ferry from 9 Queen's Quay West to Centre Island,Gibraltar Point Beach,Nature/ Park,311,,http://app.toronto.ca/tpha/beach/4.html,8133458.0,,8133458.0,443.0,Lakeshore Ave,443 Lakeshore Ave,M5J 2W2,former Toronto,Toronto,,115001.0,443.0,,,,3802.0,Spadina-Fort York,28.0,10.0,4230440.0,"Surrounded by eastern cottonwood trees, the Gibraltar Point Beach is located on the southwest shore of Toronto Island Park. The Gibraltar Point Centre for the Arts is walking distance from the beach.",Y,-79.3834808370525,43.6150880577782
55,,Gibson House Museum,Museum,416-395-7432,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/gibson-house-museum/,7131356.0,,7131356.0,5172.0,Yonge St,5172 Yonge St,M2N 5P6,North York,Toronto,Gibson House - Building Grounds,107008.0,5172.0,,,,4733.0,Willowdale,23.0,18.0,3838012.0,"Operated  by the City of Toronto, the Gibson House is a museum where visitors experience an exquisite farmhouse and learn more about the rural development of the area.",Y,-79.4144696624001,43.7716851088223
56,,Glen Rouge Campground,Nature/ Park,416-661-6600,,http://www.rougepark.com/explore/interest/campground.php,1.0223028E7,,1.0223028E7,7450.0,Kingston Rd,7450 Kingston Rd,M1B 0B7,Scarborough,Toronto,,106001.0,7450.0,,,,3786.0,Scarborough-Rouge Park,44.0,25.0,3838129.0,"Toronto''s only campground, the Glen Rouge is surrounded by luscious forests and meadows. The campground implements seasonal full-service camping.",Y,-79.1371420074854,43.8068511552017
57,,Glenn Gould Studio,Performing Arts,416-205-5000,,https://www.cbc.ca/glenngouldstudio/,1.059828E7,,1.059828E7,250.0,Front St W,250 Front St W,M5V 3G5,former Toronto,Toronto,,115001.0,250.0,,,,3472.0,Spadina-Fort York,20.0,10.0,2650427.0,"Located on the main floor of the Canadian Broadcasting Centre,  the Glenn Gould Studio is a much-celebrated venue for its state of the art recording facilities and acoustics.",Y,-79.3875038118449,43.6464170196587
58,,Guild Park and Gardens (formely known as Guildwood Park),Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/406/index.html,6620192.0,,6620192.0,201.0,Guildwood Pkwy,201 Guildwood Pkwy,M1E 1P5,Scarborough,Toronto,Guildwood Park,115001.0,201.0,,,,8047.0,Scarborough-Guildwood,43.0,24.0,4173415.0,"A sculptural alluring park and garden, the Guild Park and Gardens is rich in local history and a must-see for locals and visitors alike.",Y,-79.1914596053353,43.7497166519208
59,,Toronto Coach Terminal,Transportation,311,,https://www.greyhound.ca/en/locations/terminal.aspx?city=126300,7792271.0,,7792271.0,610.0,Bay St,610 Bay St,M5G 1M5,former Toronto,Toronto,,115001.0,610.0,,,,2962.0,University-Rosedale,27.0,11.0,2164073.0,The Toronto Coach Terminal provides travellers with bus service to various cities in North America.,Y,-79.3842298691055,43.6581724761526
